UMAP1	UMAP2	SeuratCluster	orig_ident	timepoint
batch1.U2hESC_183	-9.30196475982666	3.33554267883301	4	batch1.U2hESC	U2hESC
batch1.U2hESC_184	-11.0518321990967	4.32338571548462	4	batch1.U2hESC	U2hESC
batch1.U2hESC_185	-3.66645646095276	10.4539136886597	7	batch1.U2hESC	U2hESC
batch1.U2hESC_186	-2.03535127639771	8.42209529876709	7	batch1.U2hESC	U2hESC
batch1.U2hESC_187	5.66575479507446	6.42451953887939	7	batch1.U2hESC	U2hESC
batch1.U2hESC_188	-1.77328979969025	7.30788946151733	7	batch1.U2hESC	U2hESC
batch1.U2hESC_189	5.66220712661743	6.94924592971802	12	batch1.U2hESC	U2hESC
batch1.U2hESC_190	-11.6368207931519	4.57756948471069	4	batch1.U2hESC	U2hESC
batch1.U2hESC_191	-12.2329664230347	4.18777942657471	4	batch1.U2hESC	U2hESC
batch1.U2hESC_192	-11.2808952331543	5.42397737503052	4	batch1.U2hESC	U2hESC
batch1.U2hESC_193	-5.3538236618042	10.4038181304932	7	batch1.U2hESC	U2hESC
batch1.U2hESC_194	-7.85713958740234	0.511118113994598	17	batch1.U2hESC	U2hESC
batch1.U2hESC_195	-11.9561939239502	1.24747455120087	4	batch1.U2hESC	U2hESC
batch1.U2hESC_196	-7.81757831573486	0.482874840497971	17	batch1.U2hESC	U2hESC
batch1.U2hESC_197	-10.0658559799194	4.17662763595581	4	batch1.U2hESC	U2hESC
batch1.U2hESC_198	-11.1166524887085	5.14171409606934	4	batch1.U2hESC	U2hESC
batch1.U2hESC_199	-9.87608623504639	4.00457906723022	4	batch1.U2hESC	U2hESC
batch1.U2hESC_200	-11.0725879669189	5.47130489349365	4	batch1.U2hESC	U2hESC
batch1.U2hESC_201	-1.09515476226807	6.84932899475098	7	batch1.U2hESC	U2hESC
batch1.U2hESC_202	-1.28844273090363	8.39449691772461	7	batch1.U2hESC	U2hESC
batch1.U2hESC_203	-11.4278373718262	4.31306028366089	4	batch1.U2hESC	U2hESC
batch1.U2hESC_204	-1.75549936294556	8.13762092590332	7	batch1.U2hESC	U2hESC
batch1.U2hESC_205	-7.81506872177124	1.97329449653625	4	batch1.U2hESC	U2hESC
batch1.U2hESC_206	5.71879148483276	6.99679565429688	12	batch1.U2hESC	U2hESC
batch1.U2hESC_207	-5.27458763122559	11.6833543777466	7	batch1.U2hESC	U2hESC
batch1.U2hESC_208	-2.90705037117004	8.67881774902344	7	batch1.U2hESC	U2hESC
batch1.U2hESC_209	-1.89802527427673	9.00055122375488	7	batch1.U2hESC	U2hESC
batch1.U2hESC_210	-11.7541847229004	5.10058259963989	4	batch1.U2hESC	U2hESC
batch1.U2hESC_211	-9.27885150909424	3.39744663238525	4	batch1.U2hESC	U2hESC
batch1.U2hESC_212	-12.0054607391357	3.71337985992432	4	batch1.U2hESC	U2hESC
batch1.U2hESC_213	-3.74566102027893	8.9245080947876	7	batch1.U2hESC	U2hESC
batch1.U2hESC_214	-1.76741814613342	10.1970615386963	7	batch1.U2hESC	U2hESC
batch1.U2hESC_215	4.44388818740845	5.51052093505859	14	batch1.U2hESC	U2hESC
batch1.U2hESC_216	-0.943063318729401	6.90334749221802	7	batch1.U2hESC	U2hESC
batch1.U2hESC_217	-1.75018393993378	7.682044506073	7	batch1.U2hESC	U2hESC
batch1.U2hESC_218	-3.33258485794067	9.47486782073975	7	batch1.U2hESC	U2hESC
batch1.U2hESC_220	-4.86950969696045	11.6862707138062	7	batch1.U2hESC	U2hESC
batch1.U2hESC_221	-12.2537336349487	2.02327585220337	4	batch1.U2hESC	U2hESC
batch1.U2hESC_222	-10.5569868087769	3.42667555809021	4	batch1.U2hESC	U2hESC
